Référence interne;Titre du produit;Type de Produit;Marque;Plage de poids;Descriptif détaillé du produit;Prix Public;Prix de vente;Quantité;Qualité;Commentaire d'annonce;Commentaire privé;Images - URL Vue 1;Images - URL Vue 2;Expédition, Retrait;Téléphone;Code Postal;Pays
4032498244389;SHARE ROSE - Fun Factory ;Gode;Fun Factory ;De 500 g a 3 kg;"Le gode Share et un sextoys qui s&amp;#39;adapte impeccablement aux anatomies f&amp;eacute;minines et masculines.L&amp;rsquo;extr&amp;eacute;mit&amp;eacute; courte et arrondie de Share stimule le point G tandis que le gode de l&amp;rsquo;autre extr&amp;eacute;mit&amp;eacute; permet de donner un maximum de plaisir &amp;agrave; son/sa partenaire.N&amp;rsquo;h&amp;eacute;sitez plus, avec le gode Share, &amp;eacute;changez les r&amp;ocirc;les et partagez vos envies !Un sex toys flexible et durable.Share est un sex toys :Non vibrantSilicone&amp;nbsp; hypoallerg&amp;eacute;niqueDimensions: 24cmDiam&amp;egrave;tre: maximum 4cmCouleur : violet,&amp;nbsp; noir, rose.";66.81;66.81;492;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/s/h/share_rose_1.jpg;http://www.keepsecret.com/media/catalog/product/s/h/share_rose_1.jpg;EXP / RET;+(33)826140202;75010;France
75;BANDITO VIOLET GODE - Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Ce surprenant godemichet au design fun et &amp;agrave; la forme parfaitement &amp;eacute;tudi&amp;eacute;e pour des plaisirs tout en douceur, vous emm&amp;egrave;ne vers de merveilleux orgasmes. Un sex toys moderne, styl&amp;eacute; et ergonomique.Bandito est un sex toys:Non VibrantSilicone hypoallerg&amp;eacute;niqueInodoreLongueur : 15 cmDiam&amp;egrave;tre : 2.5 cmCouleurs : Noir, Violet.";33.36;33.36;500;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/b/a/bandito-violet.jpg;http://www.keepsecret.com/media/catalog/product/b/a/bandito-violet.jpg;EXP / RET;+(33)826140202;75010;France
4032498240367;CURVE ROSE Gode - Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Gr&amp;acirc;ce &amp;agrave; sa poign&amp;eacute;e,&amp;nbsp; l&amp;rsquo;utilisatrice peut l&amp;rsquo;actionner selon son d&amp;eacute;sir.Cette m&amp;ecirc;me poign&amp;eacute;e permet aussi une stimulation clitoridienne. Un sex toys complet pour un maximum de plaisir.Ce sex toys est:Non vibrantSilicone hypoallerg&amp;eacute;nique Longueur: 20 cmDiam&amp;egrave;tre : 4 cmCouleur : Rose , Violet.";33.36;33.36;498;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/c/u/curve_pasteque.jpg;http://www.keepsecret.com/media/catalog/product/c/u/curve_pasteque.jpg;EXP / RET;+(33)826140202;75010;France
77;MAGNUM NOIR - Fun Factory ;Gode;Fun Factory ;De 250 g a 500 g;"Equip&amp;eacute; d&amp;#39;un pied stable, il est maniable et utilisable avec un harnais.Que ce soit refroidi ou r&amp;eacute;chauff&amp;eacute;, dans la baignoire ou sur le sol ferme, ce dildo vous procurera de savoureuses sensations. Un sex toys de r&amp;eacute;f&amp;eacute;rence pour des plaisirs vari&amp;eacute;s.Ce sex toys est: Non vibrantSilicone hypoallerg&amp;eacute;niqueLongueur: 22 cmDiam&amp;egrave;tre: 4 cmCouleurs : Violet, Noir.";50.08;50.08;23;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/m/a/magnum-noir.jpg;http://www.keepsecret.com/media/catalog/product/m/a/magnum-noir.jpg;EXP / RET;+(33)826140202;75010;France
3700577800375;GODE MOU - KeepSecret ;Gode;Keep Secret ;De 250 g a 500 g;"Le gode mou est un petit godemiché qui vous procure d'intenses sensations de douceur pénétrante.
Ce sextoy est en jelly donc doux et très agréable au toucher.
Je ne vous ferais pas de dessins..... vous trouverez bien par vous même un endroit pour introduire ce petit sextoy!
Le gode mou convient aussi bien aux femmes qu'aux hommes.
Longueur : 12cm.
Diamètre : entre 3 et 4cm
Matière : jelly, souple et flexible
Couleur : Rose/rouge
Entretien : Nettoyage avec un savon doux ou gel intime. rangez à l'abri de la poussière et de la chaleur.


.";12.90;12.90;493;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/g/o/gode_mou_5.jpg;http://www.keepsecret.com/media/catalog/product/g/o/gode_mou_5.jpg;EXP / RET;+(33)826140202;75010;France
79;LA PERLE ROSE - Tantus ;Gode;Tantus ;Menos de 250 g;"Ce gode est id&amp;eacute;al pour une initiation. Il peut &amp;eacute;galement s&amp;#39;utiliser avec un harnais que vous trouverez sur le site de KeepSecret, un des acteurs majeurs de la vente en ligne de sex toys.Ce sex toys est:SiliconeDiam&amp;egrave;tre: 32 mmLongueur: 140 mm Imperm&amp;eacute;able Adaptable sur les diff&amp;eacute;rents harnais.";25.00;25.00;63;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/l/a/la_perle_rose.jpg;http://www.keepsecret.com/media/catalog/product/l/a/la_perle_rose.jpg;EXP / RET;+(33)826140202;75010;France
646709696085;LAP DANCER - KeepSecret ;Gode;Keep Secret ;De 250 g a 500 g;"Il vous suffit juste d&amp;#39;attacher le harnais autour de votre genou et de laisser aller votre partenaire qui trouvera le godemichet, godemich&amp;eacute; fourni avec ce pack tr&amp;egrave;s &amp;agrave; son go&amp;ucirc;t.Lap Dancer est un sex toys original et tr&amp;egrave;s excitant. Ing&amp;eacute;nieux !Lap Dancer est un sex-toys dont les caract&amp;eacute;ristiques sont les suivantes:- Godemichet en silicone,- Harnais en neoprene souple qui s&amp;#39;ajuste avec du velcro. &amp;nbsp;.";54.35;54.35;500;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/l/a/lap_dancer_2.jpg;http://www.keepsecret.com/media/catalog/product/l/a/lap_dancer_2.jpg;EXP / RET;+(33)826140202;75010;France
82;CHOCOLAT GODE - Tantus ;Gode; ;De 250 g a 500 g;"Chocolat est un sex toys qui peut s&amp;#39;attacher aux diff&amp;eacute;rents harnais que vous trouverez sur le site Keep Secret.Chocolat est un sex toys dont les caract&amp;eacute;ristiques sont les suivantes:- Silicone- Longueur: 147 mm- Diam&amp;egrave;tre: 32 mm .";33.36;33.36;26;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/c/h/chocolat_2.jpg;http://www.keepsecret.com/media/catalog/product/c/h/chocolat_2.jpg;EXP / RET;+(33)826140202;75010;France
7350022270930;ELLA BLANC - Gode by Lelo ;Gode;Lelo ;De 500 g a 3 kg;"Godemich&amp;eacute; non vibrant.100% silicone Stimulation du point G et conventionnelle Coffret avec pochon de satin et manuel d&amp;rsquo;utilisation 19,5 x 5 x 3 cm. 380 g.";39.90;39.90;19;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/e/l/ella_blanc_2.jpg;http://www.keepsecret.com/media/catalog/product/e/l/ella_blanc_2.jpg;EXP / RET;+(33)826140202;75010;France
84;DADDY ROUGE GODE -Tantus ;Gode; ;De 250 g a 500 g;"Vous pouvez utiliser Daddy comme un p&amp;eacute;nis artificiel pour un plaisir seul ou &amp;agrave; plusieurs. Daddy s&amp;#39;utilise aussi bien pour le plaisir vaginal que la plaisir anal. Nous vous conseillons &amp;eacute;galement de l&amp;#39;utiliser avec un de&amp;nbsp; nos nombreux harnais que vous proposons sur le site KeepSecret.Pour un confort et un plaisir maximum, il convient d&amp;#39;utiliser un gel lubrifiant intime &amp;agrave; base d&amp;#39;eau ou de silicone. La p&amp;eacute;n&amp;eacute;tration sera facilit&amp;eacute;e lors du rapport.Daddy est un sextoys dont les caract&amp;eacute;ristiques sont les suivantes:- 100% silicone- Longueur: 17,5 cm - Largeur 4 cm&amp;nbsp;- Hypoallergenique- Sans odeur ni go&amp;ucirc;t&amp;nbsp;- Sans phthalate- fait &amp;agrave; la main&amp;nbsp;- Couleur: rouge (existe aussi en noir)&amp;nbsp;.";45.90;45.90;14;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/d/a/daddy_rouge_gode.jpg;http://www.keepsecret.com/media/catalog/product/d/a/daddy_rouge_gode.jpg;EXP / RET;+(33)826140202;75010;France
85;DADDY NOIR GODE - Tantus ;Gode; ;De 250 g a 500 g;"Vous pouvez utiliser Daddy comme un p&amp;eacute;nis artificiel pour un plaisir seul ou &amp;agrave; plusieurs. Daddy s&amp;#39;utilise aussi bien pour le plaisir vaginal que la plaisir anal.Nous vous conseillons &amp;eacute;galement de l&amp;#39;utiliser avec un de&amp;nbsp; nos nombreux harnais que vous proposons sur le site KeepSecret.Pour un confort et un plaisir maximum, il convient d&amp;#39;utiliser un gel lubrifiant intime &amp;agrave; base d&amp;#39;eau ou de silicone. La p&amp;eacute;n&amp;eacute;tration sera facilit&amp;eacute;e lors du rapport.Daddy est un sextoys dont les caract&amp;eacute;ristiques sont les suivantes:- 100% silicone- Longueur: 17,5 cm - Largeur 4 cm - Hypoallergenique- Sans odeur ni go&amp;ucirc;t - Sans phthalate- fait &amp;agrave; la main- Couleur: Noire (existe aussi en rouge)&amp;nbsp;.";45.90;45.90;15;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/d/a/daddy_noir_gode.jpg;http://www.keepsecret.com/media/catalog/product/d/a/daddy_noir_gode.jpg;EXP / RET;+(33)826140202;75010;France
86;SIRE FRAMBOISE - Tantus ;Gode; ;De 250 g a 500 g;"Sire est une superbe verge pr&amp;ecirc;te &amp;agrave; vous donner du plaisir. Pour celles et ceux qui aiment les sensations fortes. Nous vous conseillons d&amp;#39;utiliser Sire avec un des nombreux harnais que vous trouverez sur notre site. Le Sire framboise est un sextoys dont les caracteristiques sont les suivantes:- longueur: 178 mm- Diam&amp;egrave;tre: 38 mm- Mati&amp;egrave;re: Silicone&amp;nbsp;- hypoallergenique, sans odeur, sans go&amp;ucirc;t, sans phthalates- 100% silicone&amp;nbsp;.";41.72;41.72;25;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/s/i/sire_framboise_1.jpg;http://www.keepsecret.com/media/catalog/product/s/i/sire_framboise_1.jpg;EXP / RET;+(33)826140202;75010;France
87;HANK NOIR - Tantus ;Gode; ;De 250 g a 500 g;"Vous pouvez utiliser Hank avec ou sans un harnais. Par ailleurs sa base large permet une utilisation sans les mains. Sa dimension est impressionnante. Nous vous conseillons d&amp;#39;utiliser Hank avec un lubrifiant et un nettoyant avant et apr&amp;egrave;s chaque utilisation.&amp;nbsp;Hank est un sextoys dont les caract&amp;eacute;ristiques sont les suivantes:- Longueur: 190mm- Diam&amp;egrave;tre: 45mm- Mati&amp;egrave;re: silicone&amp;nbsp;&amp;nbsp;.";54.26;54.26;0;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/h/a/hank_noir_3.jpg;http://www.keepsecret.com/media/catalog/product/h/a/hank_noir_3.jpg;EXP / RET;+(33)826140202;75010;France
4032498250649;SHARE XL VIOLET - Fun Factory ;Gode;Fun Factory ;De 500 g a 3 kg;"100% silicone! ce godemich&amp;eacute; est flexible mais conserve cependant une certaine rigidit&amp;eacute;. Hypoallegen&amp;eacute;nique,il est facile d&amp;acute;entretien. Qu&amp;acute;il soit chauff&amp;eacute; ou refroidi, il offre toujours une stimulation vari&amp;eacute;e.Dimensions : 25cmMati&amp;egrave;re : 100% silicone flexible.";74.41;74.41;495;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/s/h/share_xl_violet.jpg;http://www.keepsecret.com/media/catalog/product/s/h/share_xl_violet.jpg;EXP / RET;+(33)826140202;75010;France
7350022270909;ELLA NOIR - Gode by Lelo ;Gode;Lelo ;De 500 g a 3 kg;"Godemich&amp;eacute; de la prestigieuse marque lelo. Il penetrera facilement ou vous voulez.100% siliconeStimulation du point Get conventionnelleCoffret avec pochon de satinet manuel d&amp;rsquo;utilisation19,5 x 5 cm. 380 g.";39.90;39.90;36;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/e/l/ella_noir_3.jpg;http://www.keepsecret.com/media/catalog/product/e/l/ella_noir_3.jpg;EXP / RET;+(33)826140202;75010;France
4032498241036;TIGER ROUGE - Fun Factory ;Gode;Fun Factory ;De 500 g a 3 kg;"La base stable du sex toys Tiger permet une utilisation qui vous laisse les mains libres pour d&amp;#39;autres plaisirs.Tiger est un sex toys:Non vibrantSiliconeLongueur : 22 cmDiam&amp;egrave;tre : 4 cm.";50.08;50.08;499;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/t/i/tiger_rouge_1.jpg;http://www.keepsecret.com/media/catalog/product/t/i/tiger_rouge_1.jpg;EXP / RET;+(33)826140202;75010;France
3700577800382;GODE JELLY COULEUR PEAU - KeepSecret ;Gode;Keep Secret ;De 250 g a 500 g;"Ce superbe gode peut s&amp;#39;utiliser manuellement ou avec une ceintureLe godemichet réaliste couleur peau est un sextoy dont les caractéristiques sont les suivantes:Souple et flexible
Matière : jelly
Longueur: 18 cmLargeur: 4cm 
.";29.90;29.90;492;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/g/o/gode_jelly.jpg;http://www.keepsecret.com/media/catalog/product/g/o/gode_jelly.jpg;EXP / RET;+(33)826140202;75010;France
3700577803215;OBAMA OR GODE - KeepSecret ;Gode;Keep Secret ;De 250 g a 500 g;"Un godemich&amp;eacute; unique, un plaisir inoubliable !!!100% siliconeLongueur : 20cm.";49.00;49.00;499;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/o/b/obama_or.jpg;http://www.keepsecret.com/media/catalog/product/o/b/obama_or.jpg;EXP / RET;+(33)826140202;75010;France
95;GODE BOMBE NOIRE - Tantus ;Gode; ;De 500 g a 3 kg;"Ce gode, godemich&amp;eacute; a les dimensions suivantes:- Longueur: 12cm- Largeur: 5cm .";33.36;33.36;0;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/g/o/gode_bombe_noire_1.jpg;http://www.keepsecret.com/media/catalog/product/g/o/gode_bombe_noire_1.jpg;EXP / RET;+(33)826140202;75010;France
5060057871188;GODE CERAMIQUE ELODIE - Lovemoiselle ;Gode;Lovemoiselle ;De 250 g a 500 g;"Les sextoys en ceramique sont anti-frottements et des plus soyeux. Il n&amp;#39;est donc pas necessaire d&amp;#39;utiliser un lubrifiant. Neanmoins si vous le souhaitez ces sextoys en ceramique sont compatibles avec n&amp;#39;importe quel lubrifiant.Tres faciles a nettoyer ils font partie des sextoys les plus hygieniques du marche. &amp;nbsp;&amp;nbsp;Elodie est un sextoy dont les caracteristiques sont les suivantes:- Longueur: 21 cm- Largeur: 3.1 cm .";45.90;45.90;499;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/g/o/gode-ceramique.jpg;http://www.keepsecret.com/media/catalog/product/g/o/gode-ceramique.jpg;EXP / RET;+(33)826140202;75010;France
5060057871201;GODE CERAMIQUE AVELINE - Lovemoiselle ;Gode;Lovemoiselle ;De 250 g a 500 g;"Nous vous conseillons d&amp;#39;utiliser ce sextoy sans lubrifiant.Aveline est un sextoy dont les dimensions sont les suivantes:- Largeur: 21 cm- Longueur: 3.1 cm- Matiere: Ceramique .";45.90;45.90;499;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/g/o/gode-ceramique_aveline.jpg;http://www.keepsecret.com/media/catalog/product/g/o/gode-ceramique_aveline.jpg;EXP / RET;+(33)826140202;75010;France
3700577800351;GODE LIGHT UP FLUO SPECIAL POINT G ;Gode;Keep Secret ;De 250 g a 500 g;"Comment &amp;ccedil;a marche? - Choisissez une des cinq couleurs du bâtonnet brillant selon votre humeur.&amp;nbsp;- Cassez le sur toute sa longueur et secouez-le, il commencera a briller- Mettez et fixez le bâtonnet brillant sur le porte bâtonnet- Insérez le porte-bâtonnet avec le bâtonnet brillant a l&amp;#39;intérieur du godemiché livre avec 5 bâtonnets fluorescents de couleurs différentes: jaune, vert, rouge, orange, bleuLongueur: 18 cmDiamètre: entre 2.5 et 3.5cmPartie insérable: 11cmMatière: Silicone&amp;nbsp;Étanche .";29.90;29.90;498;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/g/o/gode_light_fluo.jpg;http://www.keepsecret.com/media/catalog/product/g/o/gode_light_fluo.jpg;EXP / RET;+(33)826140202;75010;France
3700577800368;GODE LIGHT UP FLUO - KeepSecret ;Gode;Keep Secret ;De 250 g a 500 g;"Comment &amp;ccedil;a marche?- Choisissez une des cinq couleurs du batonnet brillant selon votre humeur.- Cassez le sur toute sa longueur et secouez-le, il commencera a briller- Mettez et fixez le batonnet brillant sur le porte batonnet- Inserez le porte batonnet avec le batonnet brillant a l&amp;#39;interieur du godemichetLivre avec 5 batonnets fluorescents de couleurs differentes: jaune, vert, rouge, orange, bleuLongueur: 18cmDiametre : entre 2 et 3.5 cmPartie inserable : 16 cmMatiere: siliconeEtanche .";29.90;29.90;498;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/g/o/gode_light_fluo-up.jpg;http://www.keepsecret.com/media/catalog/product/g/o/gode_light_fluo-up.jpg;EXP / RET;+(33)826140202;75010;France
3700577800337;HARNAIS NOIR 8cm - KeepSecret ;Gode;Keep Secret ;De 500 g a 3 kg;"Petit prix mais il fait le maximum !!!Enfin un harnais dote d&amp;#39;un petit gode de 8cm qui vous procurera de nouvelles sensations..";37.54;37.54;498;N;KeepSecret, votre sex shop en ligne, une large gamme de sex toys et accessoires erotiques..; ;http://www.keepsecret.com/media/catalog/product/h/a/harnais_noir8cm.jpg;http://www.keepsecret.com/media/catalog/product/h/a/harnais_noir8cm.jpg;EXP / RET;+(33)826140202;75010;France
